[2015-12-03T15:02:18Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:18Z]	arcontrol_cli M1402	[TEMP 1:201.6 - TEMP 2:43.1]
[2015-12-03T15:02:23Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:23Z]	arcontrol_cli M1402	[TEMP 1:201.0 - TEMP 2:43.2]
[2015-12-03T15:02:28Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:28Z]	arcontrol_cli M1402	[TEMP 1:201.1 - TEMP 2:43.6]
[2015-12-03T15:02:33Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:33Z]	arcontrol_cli M1402	[TEMP 1:201.9 - TEMP 2:43.9]
[2015-12-03T15:02:38Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:38Z]	arcontrol_cli M1402	[TEMP 1:203.1 - TEMP 2:44.2]
[2015-12-03T15:02:43Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:43Z]	arcontrol_cli M1402	[TEMP 1:204.6 - TEMP 2:44.5]
[2015-12-03T15:02:48Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:48Z]	arcontrol_cli M1402	[TEMP 1:205.9 - TEMP 2:44.7]
[2015-12-03T15:02:53Z]	arcontrol_cli M1600	[2]
[2015-12-03T15:02:53Z]	arcontrol_cli M1402	[TEMP 1:207.4 - TEMP 2:45.1]
[2015-12-03T15:02:58Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:02:58Z]	arcontrol_cli M1402	[TEMP 1:208.2 - TEMP 2:45.3]
[2015-12-03T15:03:03Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:03Z]	arcontrol_cli M1402	[TEMP 1:208.6 - TEMP 2:45.6]
[2015-12-03T15:03:08Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:08Z]	arcontrol_cli M1402	[TEMP 1:208.0 - TEMP 2:45.8]
[2015-12-03T15:03:13Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:13Z]	arcontrol_cli M1402	[TEMP 1:206.7 - TEMP 2:46.1]
[2015-12-03T15:03:18Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:18Z]	arcontrol_cli M1402	[TEMP 1:205.0 - TEMP 2:46.3]
[2015-12-03T15:03:23Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:23Z]	arcontrol_cli M1402	[TEMP 1:203.4 - TEMP 2:46.5]
[2015-12-03T15:03:28Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:28Z]	arcontrol_cli M1402	[TEMP 1:201.9 - TEMP 2:46.7]
[2015-12-03T15:03:33Z]	arcontrol_cli M1600	[3]
[2015-12-03T15:03:33Z]	arcontrol_cli M1402	[TEMP 1:201.0 - TEMP 2:47.0]
[2015-12-03T15:03:38Z]	arcontrol_cli M1600	[4]
[2015-12-03T15:03:38Z]	arcontrol_cli M1402	[TEMP 1:200.0 - TEMP 2:47.2]
[2015-12-03T15:03:43Z]	arcontrol_cli M1600	[4]
[2015-12-03T15:03:43Z]	arcontrol_cli M1402	[TEMP 1:199.1 - TEMP 2:47.5]
[2015-12-03T15:03:48Z]	arcontrol_cli M1600	[4]
[2015-12-03T15:03:48Z]	arcontrol_cli M1402	[TEMP 1:197.5 - TEMP 2:47.7]
[2015-12-03T15:03:53Z]	arcontrol_cli M1600	[5]
[2015-12-03T15:03:53Z]	arcontrol_cli M1402	[TEMP 1:195.8 - TEMP 2:47.9]
[2015-12-03T15:03:58Z]	arcontrol_cli M1600	[5]
[2015-12-03T15:03:58Z]	arcontrol_cli M1402	[TEMP 1:193.9 - TEMP 2:48.2]
[2015-12-03T15:04:03Z]	arcontrol_cli M1600	[5]
[2015-12-03T15:04:03Z]	arcontrol_cli M1402	[TEMP 1:192.1 - TEMP 2:48.3]
[2015-12-03T15:04:08Z]	arcontrol_cli M1600	[5]
[2015-12-03T15:04:08Z]	arcontrol_cli M1402	[TEMP 1:190.9 - TEMP 2:48.5]
[2015-12-03T15:04:13Z]	arcontrol_cli M1600	[5]
[2015-12-03T15:04:13Z]	arcontrol_cli M1402	[TEMP 1:190.8 - TEMP 2:48.8]
[2015-12-03T15:04:18Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:18Z]	arcontrol_cli M1402	[TEMP 1:191.1 - TEMP 2:49.0]
[2015-12-03T15:04:23Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:23Z]	arcontrol_cli M1402	[TEMP 1:192.4 - TEMP 2:49.1]
[2015-12-03T15:04:28Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:28Z]	arcontrol_cli M1402	[TEMP 1:193.8 - TEMP 2:49.4]
[2015-12-03T15:04:33Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:33Z]	arcontrol_cli M1402	[TEMP 1:195.5 - TEMP 2:49.6]
[2015-12-03T15:04:38Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:38Z]	arcontrol_cli M1402	[TEMP 1:197.2 - TEMP 2:49.7]
[2015-12-03T15:04:43Z]	arcontrol_cli M1600	[6]
[2015-12-03T15:04:43Z]	arcontrol_cli M1402	[TEMP 1:198.4 - TEMP 2:49.9]
[2015-12-03T15:04:48Z]	arcontrol_cli M1600	[7]
